Species,Code,Depth,Period,Days,Biomass,mass,mass_change
Laminaria ochroleuca,LO_6,1.5m,T3,12,48,129.7297297,-29.72972973
Laminaria hyperborea,LH_7,1.5m,T3,12,33,103.125,-3.125
Laminaria ochroleuca,LO_8,1.5m,T3,12,53,115.2173913,-15.2173913
Laminaria hyperborea,LH_9,3m,T3,12,45,97.82608696,2.173913043
Laminaria ochroleuca,LO_10,3m,T3,12,38,108.5714286,-8.571428571
Laminaria hyperborea,LH_11,3m,T3,12,47,114.6341463,-14.63414634
Laminaria ochroleuca,LO_12,3m,T3,12,34,103.030303,-3.03030303
Laminaria hyperborea,LH_13,0.5m,T3,12,45,100,0
Laminaria ochroleuca,LO_14,0.5m,T3,12,34,100,0
Laminaria hyperborea,LH_15,0.5m,T3,12,52,96.2962963,3.703703704
Laminaria ochroleuca,LO_16,0.5m,T3,12,38,102.7027027,-2.702702703
Laminaria hyperborea,LH_17,1.5m,T3,12,36,97.2972973,2.702702703
Laminaria ochroleuca,LO_18,1.5m,T3,12,39,114.7058824,-14.70588235
Laminaria hyperborea,LH_19,1.5m,T3,12,47,100,0
Laminaria ochroleuca,LO_20,1.5m,T3,12,41,117.1428571,-17.14285714
Laminaria hyperborea,LH_21,3m,T3,12,50,94.33962264,5.660377358
Laminaria ochroleuca,LO_22,3m,T3,12,39,105.4054054,-5.405405405
Laminaria hyperborea,LH_23,3m,T3,12,37,97.36842105,2.631578947
Laminaria ochroleuca,LO_24,3m,T3,12,29,107.4074074,-7.407407407
Laminaria hyperborea,LH_25,0.5m,T3,12,46,97.87234043,2.127659574
Laminaria ochroleuca,LO_26,0.5m,T3,12,47,104.4444444,-4.444444444
Laminaria hyperborea,LH_27,0.5m,T3,12,52,94.54545455,5.454545455
Laminaria ochroleuca,LO_28,0.5m,T3,12,50,106.3829787,-6.382978723
Laminaria hyperborea,LH_29,1.5m,T3,12,45,104.6511628,-4.651162791
Laminaria ochroleuca,LO_30,1.5m,T3,12,23,100,0
Laminaria hyperborea,LH_31,1.5m,T3,12,39,75,25
Laminaria ochroleuca,LO_32,1.5m,T3,12,20,80,20
Laminaria hyperborea,LH_33,3m,T3,12,38,95,5
Laminaria ochroleuca,LO_34,3m,T3,12,36,97.2972973,2.702702703
Laminaria hyperborea,LH_35,3m,T3,12,47,88.67924528,11.32075472
Laminaria ochroleuca,LO_36,3m,T3,12,43,95.55555556,4.444444444
Laminaria hyperborea,LH_1,0.5m,T4,20,34,97.14285714,2.857142857
Laminaria ochroleuca,LO_2,0.5m,T4,20,35,109.375,-9.375
Laminaria hyperborea,LH_3,0.5m,T4,20,38,97.43589744,2.564102564
Laminaria ochroleuca,LO_4,0.5m,T4,20,37,102.7777778,-2.777777778
Laminaria hyperborea,LH_5,1.5m,T4,20,42,100,0
Laminaria ochroleuca,LO_6,1.5m,T4,20,29,78.37837838,21.62162162
Laminaria hyperborea,LH_7,1.5m,T4,20,32,100,0
Laminaria ochroleuca,LO_8,1.5m,T4,20,43,93.47826087,6.52173913
Laminaria hyperborea,LH_9,3m,T4,20,41,89.13043478,10.86956522
Laminaria ochroleuca,LO_10,3m,T4,20,39,111.4285714,-11.42857143
Laminaria hyperborea,LH_11,3m,T4,20,26,63.41463415,36.58536585
Laminaria ochroleuca,LO_12,3m,T4,20,34,103.030303,-3.03030303
Laminaria hyperborea,LH_13,0.5m,T4,20,48,106.6666667,-6.666666667
Laminaria ochroleuca,LO_14,0.5m,T4,20,31,91.17647059,8.823529412
Laminaria hyperborea,LH_15,0.5m,T4,20,57,105.5555556,-5.555555556
Laminaria ochroleuca,LO_16,0.5m,T4,20,39,105.4054054,-5.405405405
Laminaria hyperborea,LH_17,1.5m,T4,20,37,100,0
Laminaria ochroleuca,LO_18,1.5m,T4,20,38,111.7647059,-11.76470588
Laminaria hyperborea,LH_19,1.5m,T4,20,48,102.1276596,-2.127659574
Laminaria ochroleuca,LO_20,1.5m,T4,20,41,117.1428571,-17.14285714
Laminaria hyperborea,LH_21,3m,T4,20,52,98.11320755,1.886792453
Laminaria ochroleuca,LO_22,3m,T4,20,39,105.4054054,-5.405405405
Laminaria hyperborea,LH_23,3m,T4,20,39,102.6315789,-2.631578947
Laminaria ochroleuca,LO_24,3m,T4,20,31,114.8148148,-14.81481481
Laminaria hyperborea,LH_25,0.5m,T4,20,51,108.5106383,-8.510638298
Laminaria ochroleuca,LO_26,0.5m,T4,20,42,93.33333333,6.666666667
Laminaria hyperborea,LH_27,0.5m,T4,20,56,101.8181818,-1.818181818
Laminaria ochroleuca,LO_28,0.5m,T4,20,56,119.1489362,-19.14893617
Laminaria hyperborea,LH_29,1.5m,T4,20,47,109.3023256,-9.302325581
Laminaria ochroleuca,LO_30,1.5m,T4,20,26,113.0434783,-13.04347826
Laminaria hyperborea,LH_31,1.5m,T4,20,52,100,0
Laminaria ochroleuca,LO_32,1.5m,T4,20,28,112,-12
Laminaria hyperborea,LH_33,3m,T4,20,37,92.5,7.5
Laminaria ochroleuca,LO_34,3m,T4,20,34,91.89189189,8.108108108
Laminaria hyperborea,LH_35,3m,T4,20,52,98.11320755,1.886792453
Laminaria ochroleuca,LO_36,3m,T4,20,32,71.11111111,28.88888889
Laminaria hyperborea,LH_1,0.5m,T5,26,36,102.8571429,-2.857142857
Laminaria ochroleuca,LO_2,0.5m,T5,26,37,115.625,-15.625
Laminaria hyperborea,LH_3,0.5m,T5,26,38,97.43589744,2.564102564
Laminaria ochroleuca,LO_4,0.5m,T5,26,40,111.1111111,-11.11111111
Laminaria hyperborea,LH_5,1.5m,T5,26,44,104.7619048,-4.761904762
Laminaria ochroleuca,LO_6,1.5m,T5,26,24,64.86486486,35.13513514
Laminaria hyperborea,LH_7,1.5m,T5,26,33,103.125,-3.125
Laminaria ochroleuca,LO_8,1.5m,T5,26,40,86.95652174,13.04347826
Laminaria hyperborea,LH_9,3m,T5,26,31,67.39130435,32.60869565
Laminaria ochroleuca,LO_10,3m,T5,26,38,108.5714286,-8.571428571
Laminaria hyperborea,LH_11,3m,T5,26,26,63.41463415,36.58536585
