Number,Rope replicate,Depth,Date,Time period,Time,conc,,Day,,DepthT,Temp,Average,DepthL,Lux,,,,
1,1,3.0m,21/06/2019,,00:00:00,,,2,AM,3m= 16.85,14.134,,3m= 24.96,0,,,,
2,1,3.0m,21/06/2019,,01:00:00,,,2,AM,3m= 16.85,14.23,,3m= 24.96,0,,,,
3,1,3.0m,21/06/2019,,02:00:00,,,2,AM,3m= 16.85,14.134,,3m= 24.96,0,,,,
4,1,3.0m,21/06/2019,,03:00:00,,,2,AM,3m= 16.85,14.325,,3m= 24.96,0,,,,
5,1,3.0m,21/06/2019,,04:00:00,,,2,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
6,1,3.0m,21/06/2019,,05:00:00,,,2,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
7,1,3.0m,21/06/2019,,06:00:00,,,2,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
8,1,3.0m,21/06/2019,,07:00:00,,,2,AM,3m= 16.85,14.421,,3m= 24.96,6,,,,
9,1,3.0m,21/06/2019,,08:00:00,,,2,AM,3m= 16.85,14.421,,3m= 24.96,19,,,,
10,1,3.0m,21/06/2019,,09:00:00,,,2,AM,3m= 16.85,14.325,,3m= 24.96,19,,,,
11,1,3.0m,21/06/2019,,10:00:00,,,2,AM,3m= 16.85,14.23,,3m= 24.96,28,,,,
12,1,3.0m,21/06/2019,,11:00:00,,,2,AM,3m= 16.85,14.134,,3m= 24.96,32,,,,
13,1,3.0m,21/06/2019,,12:00:00,,,2,PM,3m= 16.85,14.134,,3m= 24.96,44,,,,
14,1,3.0m,21/06/2019,,13:00:00,,,2,PM,3m= 16.85,14.134,,3m= 24.96,40,,,,
16,1,3.0m,21/06/2019,,15:00:00,,,2,PM,3m= 16.85,14.421,,3m= 24.96,51,,,,
17,1,3.0m,21/06/2019,,16:00:00,,,2,PM,3m= 16.85,14.804,,3m= 24.96,25,,,,
18,1,3.0m,21/06/2019,,17:00:00,,,2,PM,3m= 16.85,14.9,,3m= 24.96,16,,,,
19,1,3.0m,21/06/2019,,18:00:00,,,2,PM,3m= 16.85,15.091,,3m= 24.96,14,,,,
20,1,3.0m,21/06/2019,,19:00:00,,,2,PM,3m= 16.85,14.996,,3m= 24.96,7,,,,
21,1,3.0m,21/06/2019,,20:00:00,,,2,PM,3m= 16.85,14.709,,3m= 24.96,2,,,,
22,1,3.0m,21/06/2019,,21:00:00,,,2,PM,3m= 16.85,14.613,,3m= 24.96,0,,,,
23,1,3.0m,21/06/2019,,22:00:00,,,2,PM,3m= 16.85,14.517,,3m= 24.96,0,,,,
24,1,3.0m,21/06/2019,,23:00:00,,,2,PM,3m= 16.85,14.421,,3m= 24.96,0,,,,
25,1,3.0m,22/06/2019,,00:00:00,,,3,AM,3m= 16.85,14.325,,3m= 24.96,0,,,,
26,1,3.0m,22/06/2019,,01:00:00,,,3,AM,3m= 16.85,14.325,,3m= 24.96,0,,,,
27,1,3.0m,22/06/2019,,02:00:00,,,3,AM,3m= 16.85,14.23,,3m= 24.96,0,,,,
28,1,3.0m,22/06/2019,,03:00:00,,,3,AM,3m= 16.85,14.325,,3m= 24.96,0,,,,
29,1,3.0m,22/06/2019,,04:00:00,,,3,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
30,1,3.0m,22/06/2019,,05:00:00,,,3,AM,3m= 16.85,14.613,,3m= 24.96,0,,,,
31,1,3.0m,22/06/2019,,06:00:00,,,3,AM,3m= 16.85,14.613,,3m= 24.96,1,,,,
32,1,3.0m,22/06/2019,,07:00:00,,,3,AM,3m= 16.85,14.613,,3m= 24.96,31,,,,
33,1,3.0m,22/06/2019,,08:00:00,,,3,AM,3m= 16.85,14.613,,3m= 24.96,39,,,,
34,1,3.0m,22/06/2019,,09:00:00,,,3,AM,3m= 16.85,14.517,,3m= 24.96,31,,,,
35,1,3.0m,22/06/2019,,10:00:00,,,3,AM,3m= 16.85,14.421,,3m= 24.96,25,,,,
36,1,3.0m,22/06/2019,,11:00:00,,,3,AM,3m= 16.85,14.421,,3m= 24.96,22,,,,
37,1,3.0m,22/06/2019,,12:00:00,,,3,PM,3m= 16.85,14.421,,3m= 24.96,29,,,,
38,1,3.0m,22/06/2019,,13:00:00,,,3,PM,3m= 16.85,14.517,,3m= 24.96,200,,,,
39,1,3.0m,22/06/2019,,14:00:00,,,3,PM,3m= 16.85,14.517,,3m= 24.96,71,,,,
40,1,3.0m,22/06/2019,,15:00:00,,,3,PM,3m= 16.85,14.709,,3m= 24.96,160,,,,
41,1,3.0m,22/06/2019,,16:00:00,,,3,PM,3m= 16.85,14.709,,3m= 24.96,34,,,,
42,1,3.0m,22/06/2019,,17:00:00,,,3,PM,3m= 16.85,14.996,,3m= 24.96,11,,,,
43,1,3.0m,22/06/2019,,18:00:00,,,3,PM,3m= 16.85,14.996,,3m= 24.96,10,,,,
44,1,3.0m,22/06/2019,,19:00:00,,,3,PM,3m= 16.85,15.091,,3m= 24.96,10,,,,
45,1,3.0m,22/06/2019,,20:00:00,,,3,PM,3m= 16.85,14.996,,3m= 24.96,3,,,,
46,1,3.0m,22/06/2019,,21:00:00,,,3,PM,3m= 16.85,14.804,,3m= 24.96,0,,,,
47,1,3.0m,22/06/2019,,22:00:00,,,3,PM,3m= 16.85,14.804,,3m= 24.96,0,,,,
48,1,3.0m,22/06/2019,,23:00:00,,,3,PM,3m= 16.85,14.613,,3m= 24.96,0,,,,
49,1,3.0m,23/06/2019,,00:00:00,,,4,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
50,1,3.0m,23/06/2019,,01:00:00,,,4,AM,3m= 16.85,14.325,,3m= 24.96,0,,,,
51,1,3.0m,23/06/2019,,02:00:00,,,4,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
52,1,3.0m,23/06/2019,,03:00:00,,,4,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
53,1,3.0m,23/06/2019,,04:00:00,,,4,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
54,1,3.0m,23/06/2019,,05:00:00,,,4,AM,3m= 16.85,14.804,,3m= 24.96,0,,,,
55,1,3.0m,23/06/2019,,06:00:00,,,4,AM,3m= 16.85,14.804,,3m= 24.96,0,,,,
56,1,3.0m,23/06/2019,,07:00:00,,,4,AM,3m= 16.85,14.804,,3m= 24.96,3,,,,
57,1,3.0m,23/06/2019,,08:00:00,,,4,AM,3m= 16.85,14.804,,3m= 24.96,9,,,,
58,1,3.0m,23/06/2019,,09:00:00,,,4,AM,3m= 16.85,14.804,,3m= 24.96,12,,,,
59,1,3.0m,23/06/2019,,10:00:00,,,4,AM,3m= 16.85,14.709,,3m= 24.96,20,,,,
60,1,3.0m,23/06/2019,,11:00:00,,,4,AM,3m= 16.85,14.613,,3m= 24.96,19,,,,
61,1,3.0m,23/06/2019,,12:00:00,,,4,PM,3m= 16.85,14.517,,3m= 24.96,10,,,,
62,1,3.0m,23/06/2019,,13:00:00,,,4,PM,3m= 16.85,14.517,,3m= 24.96,9,,,,
63,1,3.0m,23/06/2019,,14:00:00,,,4,PM,3m= 16.85,14.517,,3m= 24.96,6,,,,
64,1,3.0m,23/06/2019,,15:00:00,,,4,PM,3m= 16.85,14.517,,3m= 24.96,3,,,,
65,1,3.0m,23/06/2019,,16:00:00,,,4,PM,3m= 16.85,14.613,,3m= 24.96,3,,,,
66,1,3.0m,23/06/2019,,17:00:00,,,4,PM,3m= 16.85,14.709,,3m= 24.96,6,,,,
67,1,3.0m,23/06/2019,,18:00:00,,,4,PM,3m= 16.85,14.804,,3m= 24.96,6,,,,
68,1,3.0m,23/06/2019,,19:00:00,,,4,PM,3m= 16.85,14.804,,3m= 24.96,5,,,,
69,1,3.0m,23/06/2019,,20:00:00,,,4,PM,3m= 16.85,14.804,,3m= 24.96,2,,,,
70,1,3.0m,23/06/2019,,21:00:00,,,4,PM,3m= 16.85,14.709,,3m= 24.96,0,,,,
71,1,3.0m,23/06/2019,,22:00:00,,,4,PM,3m= 16.85,14.613,,3m= 24.96,0,,,,
72,1,3.0m,23/06/2019,,23:00:00,,,4,PM,3m= 16.85,14.613,,3m= 24.96,0,,,,
73,1,3.0m,24/06/2019,,00:00:00,,,5,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
74,1,3.0m,24/06/2019,,01:00:00,,,5,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
75,1,3.0m,24/06/2019,,02:00:00,,,5,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
76,1,3.0m,24/06/2019,,03:00:00,,,5,AM,3m= 16.85,14.421,,3m= 24.96,0,,,,
77,1,3.0m,24/06/2019,,04:00:00,,,5,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
78,1,3.0m,24/06/2019,,05:00:00,,,5,AM,3m= 16.85,14.517,,3m= 24.96,0,,,,
79,1,3.0m,24/06/2019,,06:00:00,,,5,AM,3m= 16.85,14.709,,3m= 24.96,0,,,,
80,1,3.0m,24/06/2019,,07:00:00,,,5,AM,3m= 16.85,14.709,,3m= 24.96,4,,,,
81,1,3.0m,24/06/2019,,08:00:00,,,5,AM,3m= 16.85,14.709,,3m= 24.96,6,,,,
82,1,3.0m,24/06/2019,,09:00:00,,,5,AM,3m= 16.85,14.613,,3m= 24.96,10,,,,
83,1,3.0m,24/06/2019,,10:00:00,,,5,AM,3m= 16.85,14.517,,3m= 24.96,13,,,,
84,1,3.0m,24/06/2019,,11:00:00,,,5,AM,3m= 16.85,14.517,,3m= 24.96,26,,,,
85,1,3.0m,24/06/2019,,12:00:00,,,5,PM,3m= 16.85,14.517,,3m= 24.96,55,,,,
86,1,3.0m,24/06/2019,,13:00:00,,,5,PM,3m= 16.85,14.517,,3m= 24.96,58,,,,
87,1,3.0m,24/06/2019,,14:00:00,,,5,PM,3m= 16.85,14.517,,3m= 24.96,60,,,,
88,1,3.0m,24/06/2019,,15:00:00,,,5,PM,3m= 16.85,14.613,,3m= 24.96,44,,,,
89,1,3.0m,24/06/2019,,16:00:00,,,5,PM,3m= 16.85,14.517,,3m= 24.96,33,,,,
90,1,3.0m,24/06/2019,,17:00:00,,,5,PM,3m= 16.85,14.9,,3m= 24.96,18,,,,
91,1,3.0m,24/06/2019,,18:00:00,,,5,PM,3m= 16.85,14.996,,3m= 24.96,11,,,,
92,1,3.0m,24/06/2019,,19:00:00,,,5,PM,3m= 16.85,14.996,,3m= 24.96,5,,,,
93,1,3.0m,24/06/2019,,20:00:00,,,5,PM,3m= 16.85,14.996,,3m= 24.96,1,,,,
94,1,3.0m,24/06/2019,,21:00:00,,,5,PM,3m= 16.85,14.996,,3m= 24.96,0,,,,
95,1,3.0m,24/06/2019,,22:00:00,,,5,PM,3m= 16.85,14.996,,3m= 24.96,0,,,,
96,1,3.0m,24/06/2019,,23:00:00,,,5,PM,3m= 16.85,14.9,,3m= 24.96,0,,,,
97,1,3.0m,25/06/2019,,00:00:00,,,6,AM,3m= 16.85,14.9,,3m= 24.96,0,,,,
98,1,3.0m,25/06/2019,,01:00:00,,,6,AM,3m= 16.85,14.804,,3m= 24.96,0,,,,
99,1,3.0m,25/06/2019,,02:00:00,,,6,AM,3m= 16.85,14.804,,3m= 24.96,0,,,,
100,1,3.0m,25/06/2019,,03:00:00,,,6,AM,3m= 16.85,14.709,,3m= 24.96,0,,,,
101,1,3.0m,25/06/2019,,04:00:00,,,6,AM,3m= 16.85,14.709,,3m= 24.96,0,,,,
102,1,3.0m,25/06/2019,,05:00:00,,,6,AM,3m= 16.85,14.709,,3m= 24.96,0,,,,
103,1,3.0m,25/06/2019,,06:00:00,,,6,AM,3m= 16.85,14.804,,3m= 24.96,0,,,,
104,1,3.0m,25/06/2019,,07:00:00,,,6,AM,3m= 16.85,14.9,,3m= 24.96,4,,,,
105,1,3.0m,25/06/2019,,08:00:00,,,6,AM,3m= 16.85,14.9,,3m= 24.96,2,,,,
106,1,3.0m,25/06/2019,,09:00:00,,,6,AM,3m= 16.85,14.9,,3m= 24.96,23,,,,
107,1,3.0m,25/06/2019,,10:00:00,,,6,AM,3m= 16.85,14.9,,3m= 24.96,17,,,,
108,1,3.0m,25/06/2019,,11:00:00,,,6,AM,3m= 16.85,14.804,,3m= 24.96,19,,,,
109,1,3.0m,25/06/2019,,12:00:00,,,6,PM,3m= 16.85,14.804,,3m= 24.96,32,,,,
110,1,3.0m,25/06/2019,,13:00:00,,,6,PM,3m= 16.85,14.9,,3m= 24.96,75,,,,
111,1,3.0m,25/06/2019,,14:00:00,,,6,PM,3m= 16.85,14.996,,3m= 24.96,45,,,,
112,1,3.0m,25/06/2019,,15:00:00,,,6,PM,3m= 16.85,14.996,,3m= 24.96,14,,,,
113,1,3.0m,25/06/2019,,16:00:00,,,6,PM,3m= 16.85,14.996,,3m= 24.96,58,,,,
114,1,3.0m,25/06/2019,,17:00:00,,,6,PM,3m= 16.85,14.996,,3m= 24.96,16,,,,
115,1,3.0m,25/06/2019,,18:00:00,,,6,PM,3m= 16.85,15.378,,3m= 24.96,10,,,,
116,1,3.0m,25/06/2019,,19:00:00,,,6,PM,3m= 16.85,15.473,,3m= 24.96,3,,,,
117,1,3.0m,25/06/2019,,20:00:00,,,6,PM,3m= 16.85,15.473,,3m= 24.96,0,,,,
118,1,3.0m,25/06/2019,,21:00:00,,,6,PM,3m= 16.85,15.473,,3m= 24.96,0,,,,
119,1,3.0m,25/06/2019,,22:00:00,,,6,PM,3m= 16.85,15.378,,3m= 24.96,0,,,,
120,1,3.0m,25/06/2019,,23:00:00,,,6,PM,3m= 16.85,15.473,,3m= 24.96,0,,,,
121,1,3.0m,26/06/2019,,00:00:00,,,7,AM,3m= 16.85,15.378,,3m= 24.96,0,,,,
122,1,3.0m,26/06/2019,,01:00:00,,,7,AM,3m= 16.85,15.282,,3m= 24.96,0,,,,
123,1,3.0m,26/06/2019,,02:00:00,,,7,AM,3m= 16.85,15.187,,3m= 24.96,0,,,,
124,1,3.0m,26/06/2019,,03:00:00,,,7,AM,3m= 16.85,15.187,,3m= 24.96,0,,,,
125,1,3.0m,26/06/2019,,04:00:00,,,7,AM,3m= 16.85,15.091,,3m= 24.96,0,,,,
126,1,3.0m,26/06/2019,,05:00:00,,,7,AM,3m= 16.85,15.091,,3m= 24.96,0,,,,
127,1,3.0m,26/06/2019,,06:00:00,,,7,AM,3m= 16.85,15.091,,3m= 24.96,0,,,,
128,1,3.0m,26/06/2019,,07:00:00,,,7,AM,3m= 16.85,15.187,,3m= 24.96,1,,,,
129,1,3.0m,26/06/2019,,08:00:00,,,7,AM,3m= 16.85,15.282,,3m= 24.96,3,,,,
130,1,3.0m,26/06/2019,,09:00:00,,,7,AM,3m= 16.85,15.282,,3m= 24.96,5,,,,
131,1,3.0m,26/06/2019,,10:00:00,,,7,AM,3m= 16.85,15.282,,3m= 24.96,6,,,,
142,1,3.0m,26/06/2019,,21:00:00,,,7,PM,3m= 16.85,15.855,,3m= 24.96,0,,,,
143,1,3.0m,26/06/2019,,22:00:00,,,7,PM,3m= 16.85,15.76,,3m= 24.96,0,,,,
144,1,3.0m,26/06/2019,,23:00:00,,,7,PM,3m= 16.85,15.664,,3m= 24.96,0,,,,
145,1,3.0m,27/06/2019,,00:00:00,,,8,AM,3m= 16.85,15.664,,3m= 24.96,0,,,,
146,1,3.0m,27/06/2019,,01:00:00,,,8,AM,3m= 16.85,15.569,,3m= 24.96,0,,,,
147,1,3.0m,27/06/2019,,02:00:00,,,8,AM,3m= 16.85,15.473,,3m= 24.96,0,,,,
148,1,3.0m,27/06/2019,,03:00:00,,,8,AM,3m= 16.85,15.378,,3m= 24.96,0,,,,
149,1,3.0m,27/06/2019,,04:00:00,,,8,AM,3m= 16.85,15.378,,3m= 24.96,0,,,,
150,1,3.0m,27/06/2019,,05:00:00,,,8,AM,3m= 16.85,15.282,,3m= 24.96,0,,,,
151,1,3.0m,27/06/2019,,06:00:00,,,8,AM,3m= 16.85,15.378,,3m= 24.96,3,,,,
152,1,3.0m,27/06/2019,,07:00:00,,,8,AM,3m= 16.85,15.378,,3m= 24.96,11,,,,
153,1,3.0m,27/06/2019,,08:00:00,,,8,AM,3m= 16.85,15.569,,3m= 24.96,13,,,,
154,1,3.0m,27/06/2019,,09:00:00,,,8,AM,3m= 16.85,15.664,,3m= 24.96,18,,,,
155,1,3.0m,27/06/2019,,10:00:00,,,8,AM,3m= 16.85,15.664,,3m= 24.96,24,,,,
156,1,3.0m,27/06/2019,,11:00:00,,,8,AM,3m= 16.85,15.664,,3m= 24.96,41,,,,
157,1,3.0m,27/06/2019,,12:00:00,,,8,PM,3m= 16.85,15.664,,3m= 24.96,94,,,,
158,1,3.0m,27/06/2019,,13:00:00,,,8,PM,3m= 16.85,15.76,,3m= 24.96,288,,,,
159,1,3.0m,27/06/2019,,14:00:00,,,8,PM,3m= 16.85,15.76,,3m= 24.96,288,,,,
161,1,3.0m,27/06/2019,,16:00:00,,,8,PM,3m= 16.85,15.569,,3m= 24.96,126,,,,
162,1,3.0m,27/06/2019,,17:00:00,,,8,PM,3m= 16.85,15.569,,3m= 24.96,240,,,,
163,1,3.0m,27/06/2019,,18:00:00,,,8,PM,3m= 16.85,15.664,,3m= 24.96,17,,,,
164,1,3.0m,27/06/2019,,19:00:00,,,8,PM,3m= 16.85,15.664,,3m= 24.96,10,,,,
165,1,3.0m,27/06/2019,,20:00:00,,,8,PM,3m= 16.85,15.855,,3m= 24.96,5,,,,
166,1,3.0m,27/06/2019,,21:00:00,,,8,PM,3m= 16.85,15.951,,3m= 24.96,1,,,,
167,1,3.0m,27/06/2019,,22:00:00,,,8,PM,3m= 16.85,16.046,,3m= 24.96,0,,,,
168,1,3.0m,27/06/2019,,23:00:00,,,8,PM,3m= 16.85,16.046,,3m= 24.96,0,,,,
169,1,3.0m,28/06/2019,,00:00:00,,,9,AM,3m= 16.85,16.046,,3m= 24.96,0,,,,
170,1,3.0m,28/06/2019,,01:00:00,,,9,AM,3m= 16.85,16.046,,3m= 24.96,0,,,,
171,1,3.0m,28/06/2019,,02:00:00,,,9,AM,3m= 16.85,16.046,,3m= 24.96,0,,,,
172,1,3.0m,28/06/2019,,03:00:00,,,9,AM,3m= 16.85,15.951,,3m= 24.96,0,,,,
173,1,3.0m,28/06/2019,,04:00:00,,,9,AM,3m= 16.85,15.664,,3m= 24.96,0,,,,
174,1,3.0m,28/06/2019,,05:00:00,,,9,AM,3m= 16.85,15.664,,3m= 24.96,0,,,,
175,1,3.0m,28/06/2019,,06:00:00,,,9,AM,3m= 16.85,15.664,,3m= 24.96,2,,,,
176,1,3.0m,28/06/2019,,07:00:00,,,9,AM,3m= 16.85,15.664,,3m= 24.96,10,,,,
177,1,3.0m,28/06/2019,,08:00:00,,,9,AM,3m= 16.85,15.76,,3m= 24.96,16,,,,
178,1,3.0m,28/06/2019,,09:00:00,,,9,AM,3m= 16.85,15.951,,3m= 24.96,16,,,,
179,1,3.0m,28/06/2019,,10:00:00,,,9,AM,3m= 16.85,16.046,,3m= 24.96,23,,,,
180,1,3.0m,28/06/2019,,11:00:00,,,9,AM,3m= 16.85,16.046,,3m= 24.96,32,,,,
181,1,3.0m,28/06/2019,,12:00:00,,,9,PM,3m= 16.85,16.141,,3m= 24.96,73,,,,
182,1,3.0m,28/06/2019,,13:00:00,,,9,PM,3m= 16.85,16.237,,3m= 24.96,320,,,,
183,1,3.0m,28/06/2019,,14:00:00,,,9,PM,3m= 16.85,16.141,,3m= 24.96,232,,,,
184,1,3.0m,28/06/2019,,15:00:00,,,9,PM,3m= 16.85,16.141,,3m= 24.96,480,,,,
185,1,3.0m,28/06/2019,,16:00:00,,,9,PM,3m= 16.85,15.951,,3m= 24.96,232,,,,
186,1,3.0m,28/06/2019,,17:00:00,,,9,PM,3m= 16.85,15.855,,3m= 24.96,128,,,,
187,1,3.0m,28/06/2019,,18:00:00,,,9,PM,3m= 16.85,15.951,,3m= 24.96,34,,,,
188,1,3.0m,28/06/2019,,19:00:00,,,9,PM,3m= 16.85,15.855,,3m= 24.96,9,,,,
189,1,3.0m,28/06/2019,,20:00:00,,,9,PM,3m= 16.85,15.951,,3m= 24.96,4,,,,
190,1,3.0m,28/06/2019,,21:00:00,,,9,PM,3m= 16.85,16.141,,3m= 24.96,1,,,,
191,1,3.0m,28/06/2019,,22:00:00,,,9,PM,3m= 16.85,16.237,,3m= 24.96,0,,,,
192,1,3.0m,28/06/2019,,23:00:00,,,9,PM,3m= 16.85,16.237,,3m= 24.96,0,,,,
193,1,3.0m,29/06/2019,,00:00:00,,,10,AM,3m= 16.85,16.332,,3m= 24.96,0,,,,
194,1,3.0m,29/06/2019,,01:00:00,,,10,AM,3m= 16.85,16.237,,3m= 24.96,0,,,,
195,1,3.0m,29/06/2019,,02:00:00,,,10,AM,3m= 16.85,16.237,,3m= 24.96,0,,,,
196,1,3.0m,29/06/2019,,03:00:00,,,10,AM,3m= 16.85,16.141,,3m= 24.96,0,,,,
197,1,3.0m,29/06/2019,,04:00:00,,,10,AM,3m= 16.85,15.951,,3m= 24.96,0,,,,
198,1,3.0m,29/06/2019,,05:00:00,,,10,AM,3m= 16.85,15.951,,3m= 24.96,0,,,,
199,1,3.0m,29/06/2019,,06:00:00,,,10,AM,3m= 16.85,15.951,,3m= 24.96,2,,,,
200,1,3.0m,29/06/2019,,07:00:00,,,10,AM,3m= 16.85,15.951,,3m= 24.96,8,,,,
201,1,3.0m,29/06/2019,,08:00:00,,,10,AM,3m= 16.85,15.855,,3m= 24.96,9,,,,
202,1,3.0m,29/06/2019,,09:00:00,,,10,AM,3m= 16.85,16.046,,3m= 24.96,26,,,,
203,1,3.0m,29/06/2019,,10:00:00,,,10,AM,3m= 16.85,16.046,,3m= 24.96,21,,,,
204,1,3.0m,29/06/2019,,11:00:00,,,10,AM,3m= 16.85,16.332,,3m= 24.96,25,,,,
205,1,3.0m,29/06/2019,,12:00:00,,,10,PM,3m= 16.85,16.427,,3m= 24.96,37,,,,
206,1,3.0m,29/06/2019,,13:00:00,,,10,PM,3m= 16.85,16.427,,3m= 24.96,75,,,,
207,1,3.0m,29/06/2019,,14:00:00,,,10,PM,3m= 16.85,16.427,,3m= 24.96,95,,,,
208,1,3.0m,29/06/2019,,15:00:00,,,10,PM,3m= 16.85,16.332,,3m= 24.96,176,,,,
209,1,3.0m,29/06/2019,,16:00:00,,,10,PM,3m= 16.85,16.237,,3m= 24.96,184,,,,
210,1,3.0m,29/06/2019,,17:00:00,,,10,PM,3m= 16.85,16.141,,3m= 24.96,160,,,,
211,1,3.0m,29/06/2019,,18:00:00,,,10,PM,3m= 16.85,16.046,,3m= 24.96,37,,,,
212,1,3.0m,29/06/2019,,19:00:00,,,10,PM,3m= 16.85,16.046,,3m= 24.96,4,,,,
213,1,3.0m,29/06/2019,,20:00:00,,,10,PM,3m= 16.85,15.951,,3m= 24.96,2,,,,
214,1,3.0m,29/06/2019,,21:00:00,,,10,PM,3m= 16.85,15.951,,3m= 24.96,0,,,,
215,1,3.0m,29/06/2019,,22:00:00,,,10,PM,3m= 16.85,16.237,,3m= 24.96,0,,,,
216,1,3.0m,29/06/2019,,23:00:00,,,10,PM,3m= 16.85,16.427,,3m= 24.96,0,,,,
217,1,3.0m,30/06/2019,,00:00:00,,,11,AM,3m= 16.85,16.427,,3m= 24.96,0,,,,
218,1,3.0m,30/06/2019,,01:00:00,,,11,AM,3m= 16.85,16.427,,3m= 24.96,0,,,,
219,1,3.0m,30/06/2019,,02:00:00,,,11,AM,3m= 16.85,16.332,,3m= 24.96,0,,,,
220,1,3.0m,30/06/2019,,03:00:00,,,11,AM,3m= 16.85,16.237,,3m= 24.96,0,,,,
221,1,3.0m,30/06/2019,,04:00:00,,,11,AM,3m= 16.85,16.046,,3m= 24.96,0,,,,
222,1,3.0m,30/06/2019,,05:00:00,,,11,AM,3m= 16.85,16.046,,3m= 24.96,0,,,,
223,1,3.0m,30/06/2019,,06:00:00,,,11,AM,3m= 16.85,15.951,,3m= 24.96,0,,,,
224,1,3.0m,30/06/2019,,07:00:00,,,11,AM,3m= 16.85,15.951,,3m= 24.96,2,,,,
225,1,3.0m,30/06/2019,,08:00:00,,,11,AM,3m= 16.85,15.951,,3m= 24.96,6,,,,
226,1,3.0m,30/06/2019,,09:00:00,,,11,AM,3m= 16.85,15.951,,3m= 24.96,11,,,,
227,1,3.0m,30/06/2019,,10:00:00,,,11,AM,3m= 16.85,16.046,,3m= 24.96,11,,,,
228,1,3.0m,30/06/2019,,11:00:00,,,11,AM,3m= 16.85,16.237,,3m= 24.96,23,,,,
229,1,3.0m,30/06/2019,,12:00:00,,,11,PM,3m= 16.85,16.618,,3m= 24.96,38,,,,
230,1,3.0m,30/06/2019,,13:00:00,,,11,PM,3m= 16.85,16.808,,3m= 24.96,86,,,,
231,1,3.0m,30/06/2019,,14:00:00,,,11,PM,3m= 16.85,16.808,,3m= 24.96,136,,,,
232,1,3.0m,30/06/2019,,15:00:00,,,11,PM,3m= 16.85,16.713,,3m= 24.96,152,,,,
233,1,3.0m,30/06/2019,,16:00:00,,,11,PM,3m= 16.85,16.523,,3m= 24.96,38,,,,
234,1,3.0m,30/06/2019,,17:00:00,,,11,PM,3m= 16.85,16.332,,3m= 24.96,17,,,,
235,1,3.0m,30/06/2019,,18:00:00,,,11,PM,3m= 16.85,16.237,,3m= 24.96,9,,,,
236,1,3.0m,30/06/2019,,19:00:00,,,11,PM,3m= 16.85,16.237,,3m= 24.96,3,,,,
237,1,3.0m,30/06/2019,,20:00:00,,,11,PM,3m= 16.85,16.141,,3m= 24.96,2,,,,
238,1,3.0m,30/06/2019,,21:00:00,,,11,PM,3m= 16.85,16.237,,3m= 24.96,0,,,,
239,1,3.0m,30/06/2019,,22:00:00,,,11,PM,3m= 16.85,16.046,,3m= 24.96,0,,,,
240,1,3.0m,30/06/2019,,23:00:00,,,11,PM,3m= 16.85,16.237,,3m= 24.96,0,,,,
241,1,3.0m,01/07/2019,,00:00:00,,,12,,3m= 16.85,16.618,,3m= 24.96,0,,,,
242,1,3.0m,01/07/2019,,01:00:00,,,12,,3m= 16.85,16.713,,3m= 24.96,0,,,,
243,1,3.0m,01/07/2019,,02:00:00,,,12,,3m= 16.85,16.713,,3m= 24.96,0,,,,
244,1,3.0m,01/07/2019,,03:00:00,,,12,,3m= 16.85,16.713,,3m= 24.96,0,,,,
245,1,3.0m,01/07/2019,,04:00:00,,,12,,3m= 16.85,16.427,,3m= 24.96,0,,,,
246,1,3.0m,01/07/2019,,05:00:00,,,12,,3m= 16.85,16.332,,3m= 24.96,0,,,,
247,1,3.0m,01/07/2019,,06:00:00,,,12,,3m= 16.85,16.237,,3m= 24.96,0,,,,
248,1,3.0m,01/07/2019,,07:00:00,,,12,,3m= 16.85,16.141,,3m= 24.96,3,,,,
249,1,3.0m,01/07/2019,,08:00:00,,,12,,3m= 16.85,16.046,,3m= 24.96,4,,,,
250,1,3.0m,01/07/2019,,09:00:00,,,12,,3m= 16.85,16.046,,3m= 24.96,6,,,,
251,1,3.0m,01/07/2019,,10:00:00,,,12,,3m= 16.85,15.951,,3m= 24.96,5,,,,
252,1,3.0m,01/07/2019,,11:00:00,,,12,,3m= 16.85,16.141,,3m= 24.96,7,,,,
253,1,3.0m,01/07/2019,,12:00:00,,,12,,3m= 16.85,16.332,,3m= 24.96,10,,,,
254,1,3.0m,01/07/2019,,13:00:00,,,12,,3m= 16.85,16.523,,3m= 24.96,12,,,,
255,1,3.0m,01/07/2019,,14:00:00,,,12,,3m= 16.85,16.618,,3m= 24.96,19,,,,
262,1,3.0m,01/07/2019,,21:00:00,,,12,,3m= 16.85,15.855,,3m= 24.96,1,,,,
263,1,3.0m,01/07/2019,,22:00:00,,,12,,3m= 16.85,15.855,,3m= 24.96,0,,,,
